drawNumber,drawDate,n1,n2,n3,n4,n5,b1
1252,2023-10-03,1,4,11,25,30,10
1251,2023-09-26,3,4,5,30,31,17
1250,2023-09-19,2,12,13,19,23,27
1249,2023-09-12,7,9,11,14,21,27
1248,2023-09-05,2,4,5,14,25,24
1247,2023-08-29,9,15,23,26,30,19
1246,2023-08-22,16,17,20,21,28,18
1245,2023-08-15,10,11,16,29,30,19
1244,2023-08-08,2,6,9,11,19,22
1243,2023-08-01,2,4,13,15,20,24
1242,2023-07-25,5,7,18,19,27,29
1241,2023-07-18,1,2,3,7,27,11
1240,2023-07-11,13,15,20,27,30,6
1239,2023-07-04,7,9,11,18,30,1
1238,2023-06-27,13,16,19,21,25,29
1237,2023-06-20,2,9,10,25,31,18
1236,2023-06-13,1,18,19,30,31,29
1235,2023-06-06,8,12,17,22,28,5
1234,2023-05-30,4,14,15,27,28,22
1233,2023-05-23,3,8,17,19,23,22
1232,2023-05-16,4,5,17,27,29,6
1231,2023-05-09,1,14,20,21,31,5
1230,2023-05-02,4,18,21,22,23,28
1229,2023-04-25,1,5,7,12,27,26
1228,2023-04-18,1,4,18,19,26,22
1227,2023-04-11,1,5,11,20,26,14
1226,2023-04-04,2,5,13,18,21,4
1225,2023-03-28,1,7,15,29,31,19
1224,2023-03-21,1,5,8,11,22,14
1223,2023-03-14,1,11,21,26,31,25
1222,2023-03-07,4,18,23,26,28,7
1221,2023-02-28,4,11,13,21,26,19
1220,2023-02-21,2,5,11,12,30,16
1219,2023-02-14,9,10,13,21,29,11
1218,2023-02-07,1,3,4,7,11,16
1217,2023-01-31,8,10,14,20,25,30
1216,2023-01-24,10,12,18,25,28,13
1215,2023-01-17,1,2,3,5,20,6
1214,2023-01-10,5,9,10,19,26,2
1213,2022-12-27,17,21,23,25,26,6
1212,2022-12-20,14,19,23,30,31,26
1211,2022-12-13,4,8,16,25,26,12
1210,2022-12-06,14,26,27,30,31,10
1209,2022-11-29,12,14,17,27,28,29
1208,2022-11-22,5,10,15,16,27,26
1207,2022-11-15,2,8,14,25,28,7
1206,2022-11-08,7,9,12,14,30,19
1205,2022-11-01,11,12,16,24,28,20
1204,2022-10-25,5,10,12,18,20,4
1203,2022-10-18,4,7,8,12,19,23
1202,2022-10-11,4,5,15,27,30,12
1201,2022-10-04,1,2,16,23,30,8
1200,2022-09-27,2,16,18,22,24,4
1199,2022-09-20,6,13,19,23,28,10
1198,2022-09-13,10,11,17,30,31,1
1197,2022-09-06,7,9,17,26,27,24
1196,2022-08-30,1,5,17,19,23,26
1195,2022-08-23,3,10,11,13,14,4
1194,2022-08-16,3,5,7,18,20,30
1193,2022-08-09,1,4,8,11,20,15
1192,2022-08-02,4,10,11,22,31,28
1191,2022-07-26,11,16,20,25,26,7
1190,2022-07-19,3,20,23,24,28,29
1189,2022-07-12,6,7,16,17,22,9
1188,2022-07-05,2,25,26,29,31,6
1187,2022-06-28,3,5,6,11,23,16
1186,2022-06-21,9,13,15,24,28,17
1185,2022-06-14,1,14,16,17,22,4
1184,2022-06-07,5,8,12,19,27,15
1183,2022-05-31,3,7,9,14,15,23
1182,2022-05-24,7,10,20,22,28,21
1181,2022-05-17,2,9,13,16,22,15
1180,2022-05-10,13,15,16,26,29,27
1179,2022-05-03,18,19,20,25,30,27
1178,2022-04-26,1,5,9,13,22,31
1177,2022-04-19,3,10,16,21,30,7
1176,2022-04-12,1,12,20,27,29,17
1175,2022-04-05,1,7,15,16,29,2
1174,2022-03-29,5,6,21,29,30,27
1173,2022-03-22,3,4,13,16,27,9
1172,2022-03-15,11,24,26,28,29,22
1171,2022-03-08,1,3,6,16,23,31
1170,2022-03-01,2,16,18,20,28,29
1169,2022-02-22,1,7,9,21,27,13
1168,2022-02-15,5,13,14,24,31,2
1167,2022-02-08,2,14,21,27,30,23
1166,2022-02-01,6,11,14,17,25,24
1165,2022-01-25,5,13,16,27,31,24
1164,2022-01-18,4,9,19,26,31,25
1163,2022-01-11,2,9,11,22,29,3
1162,2022-01-04,2,21,23,24,29,11
1161,2021-12-28,3,9,13,17,24,29
1160,2021-12-21,7,19,22,24,31,21
1159,2021-12-14,11,12,14,18,31,6
1158,2021-12-07,1,14,23,25,26,29
1157,2021-11-30,2,6,7,13,30,17
1156,2021-11-23,1,3,14,27,30,7
1155,2021-11-16,1,9,13,16,19,18
1154,2021-11-09,9,10,12,21,24,27
1153,2021-11-02,17,25,27,29,30,15
1152,2021-10-26,2,12,14,23,27,21
1151,2021-10-19,14,18,21,30,31,9
1150,2021-10-12,1,10,13,27,29,14
1149,2021-10-05,5,12,14,15,20,7
1148,2021-09-28,1,3,6,15,19,10
1147,2021-09-21,6,8,23,27,29,21
1146,2021-09-14,4,5,11,29,30,24
1145,2021-09-07,11,14,20,28,31,12
1144,2021-08-31,4,11,14,21,30,27
1143,2021-08-24,3,4,16,19,27,23
1142,2021-08-17,11,23,25,29,30,18
1141,2021-08-10,9,12,17,18,27,22
1140,2021-08-03,7,11,17,19,28,25
1139,2021-07-27,12,16,17,24,31,22
1138,2021-07-20,14,20,23,28,29,27
1137,2021-07-13,7,8,21,25,31,14
1136,2021-07-06,11,15,20,22,23,4
1135,2021-06-29,7,19,21,23,28,24
1134,2021-06-22,6,13,20,23,28,21
1133,2021-06-15,14,17,23,28,30,7
1132,2021-06-08,3,4,14,15,18,5
1131,2021-06-01,6,8,11,24,29,23
1130,2021-05-25,5,6,8,25,26,11
1129,2021-05-18,5,9,16,29,30,12
1128,2021-05-11,4,7,13,24,30,2
1127,2021-05-04,8,22,24,27,28,16
1126,2021-04-27,6,8,20,30,31,25
1125,2021-04-20,2,6,10,14,21,18
1124,2021-04-13,3,4,6,8,27,12
1123,2021-04-06,7,17,26,28,29,24
1122,2021-03-30,8,9,14,25,28,11
1121,2021-03-23,13,19,21,24,25,16
1120,2021-03-16,2,10,11,17,31,26
1119,2021-03-09,9,10,12,17,18,14
1118,2021-03-02,8,13,16,27,29,11
1117,2021-02-23,4,13,22,27,30,19
1116,2021-02-16,7,24,25,27,29,10
1115,2021-02-09,2,4,6,11,29,20
1114,2021-02-02,7,18,21,25,26,12
1113,2021-01-26,19,20,21,26,27,12
1112,2021-01-19,5,6,8,13,25,29
1111,2021-01-12,2,3,4,13,31,29
1110,2021-01-05,2,7,19,23,28,3
1109,2020-12-29,7,15,17,26,27,8
1108,2020-12-22,6,10,14,17,19,27
1107,2020-12-15,7,10,16,18,29,5
1106,2020-12-08,2,18,21,25,30,19
1105,2020-12-01,4,11,16,21,26,9
1104,2020-11-24,7,16,20,23,28,6
1103,2020-11-17,1,6,7,21,31,18
1102,2020-11-10,8,13,20,26,29,6
1101,2020-11-03,1,8,10,12,29,13
1100,2020-10-27,13,18,19,25,27,16
1099,2020-10-20,1,3,5,14,23,15
1098,2020-10-13,3,13,17,28,31,19
1097,2020-10-06,5,12,18,19,24,16
1096,2020-09-29,1,2,12,20,22,8
1095,2020-09-22,4,10,16,21,24,6
1094,2020-09-15,3,5,8,14,22,21
1093,2020-09-08,2,12,17,23,30,8
1092,2020-09-01,9,13,14,19,22,25
1091,2020-08-25,1,14,25,29,31,30
1090,2020-08-18,4,12,15,22,25,10
1089,2020-08-11,3,13,18,19,22,29
1088,2020-08-04,2,8,14,17,26,4
1087,2020-07-28,1,3,4,9,16,28
1086,2020-07-21,2,18,19,28,30,16
1085,2020-07-14,9,10,16,17,28,13
1084,2020-07-07,11,19,28,29,31,2
1083,2020-06-30,1,3,19,26,29,5
1082,2020-06-23,1,2,14,19,29,5
1081,2020-06-16,2,3,4,24,25,8
1080,2020-06-09,4,5,13,19,21,14
1079,2020-06-02,2,6,14,16,26,4
1078,2020-05-26,3,10,16,17,25,24
1077,2020-05-19,3,17,19,25,31,4
1076,2020-05-12,5,7,11,22,26,15
1075,2020-05-05,4,11,13,16,31,6
1074,2020-04-28,15,18,20,22,27,21
1073,2020-04-21,2,13,21,24,30,14
1072,2020-04-14,3,4,10,12,13,31
1071,2020-04-07,2,3,4,27,31,7
1070,2020-03-31,7,9,11,27,31,21
1069,2020-03-24,1,3,9,14,25,20
1068,2020-03-17,2,3,20,24,31,9
1067,2020-03-10,2,10,13,15,28,26
1066,2020-03-03,15,17,20,22,23,21
1065,2020-02-25,8,11,14,16,31,10
1064,2020-02-18,1,5,8,28,29,7
1063,2020-02-11,10,18,20,26,27,25
1062,2020-02-04,14,18,23,29,31,17
1061,2020-01-28,5,10,19,23,28,9
1060,2020-01-21,19,23,24,28,31,11
1059,2020-01-14,2,11,13,16,18,3
1058,2020-01-07,2,16,19,24,27,20
1057,2020-01-07,9,13,21,23,26,1
1056,2019-12-17,3,12,14,21,25,10
1055,2019-12-10,1,5,18,19,21,9
1054,2019-12-03,2,19,25,26,31,22
1053,2019-11-26,2,3,13,16,23,14
1052,2019-11-19,4,8,9,14,26,5
1051,2019-11-12,7,11,12,21,22,5
1050,2019-11-05,2,15,19,23,28,10
1049,2019-10-29,2,16,21,26,31,27
1048,2019-10-22,1,8,11,19,23,12
1047,2019-10-15,8,12,19,25,26,9
1046,2019-10-08,16,23,24,28,29,12
1045,2019-10-01,3,5,7,10,18,16
1044,2019-09-24,12,19,27,28,30,1
1043,2019-09-17,7,9,23,24,25,30
1042,2019-09-10,11,12,19,23,28,7
1041,2019-09-03,3,9,14,15,27,31
1040,2019-08-27,7,10,13,25,27,30
1039,2019-08-20,4,19,22,24,30,12
1038,2019-08-13,2,5,21,23,30,8
1037,2019-08-06,7,19,23,24,27,17
1036,2019-07-30,7,14,16,23,28,9
1035,2019-07-23,3,8,11,16,31,26
1034,2019-07-16,12,22,27,28,29,10
1033,2019-07-09,2,12,14,24,31,22
1032,2019-07-02,1,9,14,21,26,29
1031,2019-06-25,5,8,17,21,23,15
1030,2019-06-18,21,24,26,27,28,22
1029,2019-06-11,3,4,9,11,29,5
1028,2019-06-04,2,3,8,16,27,17
1027,2019-05-28,5,6,17,21,27,19
1026,2019-05-21,3,14,15,22,26,1
1025,2019-05-14,3,4,13,19,23,18
1024,2019-05-07,4,11,12,23,28,3
1023,2019-04-30,2,12,22,23,26,25
1022,2019-04-23,5,13,24,27,29,22
1021,2019-04-16,13,19,23,25,29,8
1020,2019-04-09,3,12,17,24,30,31
1019,2019-04-02,5,6,16,23,24,3
1018,2019-03-26,13,16,23,27,29,15
1017,2019-03-19,9,16,21,23,24,8
1016,2019-03-12,5,21,23,25,27,22
1015,2019-03-05,3,5,6,20,25,27
1014,2019-02-26,4,17,19,20,25,5
1013,2019-02-19,1,6,11,19,28,8
1012,2019-02-12,1,13,18,26,29,8
1011,2019-02-05,9,16,21,30,31,27
1010,2019-01-29,10,17,20,21,30,15
1009,2019-01-22,2,8,17,23,27,4
1008,2019-01-15,3,4,22,26,27,11
1007,2019-01-08,2,10,11,25,31,17
1006,2018-12-25,10,15,19,23,26,6
1005,2018-12-18,5,13,18,26,31,11
1004,2018-12-11,1,18,22,27,30,20
1003,2018-12-04,11,14,15,22,29,10
1002,2018-11-27,2,9,11,20,27,5
1001,2018-11-20,5,12,16,22,27,18
1000,2018-11-13,3,8,14,18,26,7
999,2018-11-06,6,17,18,20,29,26
998,2018-10-30,1,7,19,20,25,27
997,2018-10-23,1,3,8,11,14,16
996,2018-10-16,9,19,20,22,26,7
995,2018-10-09,1,5,14,21,30,12
994,2018-10-02,7,8,19,27,31,26
993,2018-09-25,1,4,24,29,30,10
992,2018-09-18,1,14,17,20,31,24
991,2018-09-11,1,3,9,15,30,6
990,2018-09-04,3,9,17,23,25,13
989,2018-08-28,2,7,10,16,30,24
988,2018-08-21,1,9,11,14,21,28
987,2018-08-14,6,13,15,17,21,22
986,2018-08-07,1,21,22,25,27,28
985,2018-07-31,5,11,16,17,26,3
984,2018-07-24,2,4,5,16,27,14
983,2018-07-17,6,10,12,15,23,25
982,2018-07-10,5,8,20,22,27,24
981,2018-07-03,10,11,19,28,30,22
980,2018-06-26,8,24,27,30,31,16
979,2018-06-19,1,10,23,25,28,12
978,2018-06-12,1,8,20,26,28,7
977,2018-06-05,9,17,21,22,23,5
976,2018-05-29,2,4,15,16,19,8
975,2018-05-22,10,18,19,28,29,16
974,2018-05-15,10,18,21,24,27,30
973,2018-05-08,1,7,12,13,31,30
972,2018-05-01,13,19,21,22,27,14
971,2018-04-24,7,17,18,20,24,13
970,2018-04-17,2,4,19,27,28,7
969,2018-04-10,1,4,18,24,27,6
968,2018-04-03,1,5,10,20,24,3
967,2018-03-27,4,7,11,14,31,2
966,2018-03-20,1,11,25,26,27,30
965,2018-03-13,7,13,15,19,28,23
964,2018-03-06,16,19,27,28,30,12
963,2018-02-27,4,7,17,21,28,10
962,2018-02-20,3,10,15,18,25,27
961,2018-02-13,2,11,18,20,29,3
960,2018-02-06,2,3,5,16,20,9
959,2018-01-30,2,3,9,14,19,15
958,2018-01-23,3,10,15,17,19,20
957,2018-01-16,2,15,26,29,31,3
956,2018-01-09,6,15,18,22,29,31
955,2017-12-26,9,12,17,21,30,28
954,2017-12-19,11,16,21,23,25,18
953,2017-12-12,4,5,9,22,29,2
952,2017-12-05,4,10,15,16,18,8
951,2017-11-28,3,9,12,26,27,25
950,2017-11-21,5,8,12,14,28,1
949,2017-11-14,1,2,5,6,21,25
948,2017-11-07,3,6,12,13,22,4
947,2017-10-31,3,7,19,24,27,16
946,2017-10-24,5,14,24,28,29,20
945,2017-10-17,14,17,21,25,31,15
944,2017-10-10,5,11,13,16,27,23
943,2017-10-03,4,11,18,28,30,10
942,2017-09-26,2,7,10,22,29,17
941,2017-09-19,3,11,12,15,28,17
940,2017-09-12,4,9,25,27,28,12
939,2017-09-05,8,12,20,23,28,16
938,2017-08-29,4,9,16,21,22,1
937,2017-08-22,5,12,13,15,24,25
936,2017-08-15,7,21,23,25,31,10
935,2017-08-08,3,11,13,20,31,16
934,2017-08-01,3,7,8,11,13,4
933,2017-07-25,3,4,22,26,29,5
932,2017-07-18,1,3,14,17,19,23
931,2017-07-11,2,3,18,24,25,9
930,2017-07-04,9,14,24,25,27,16
929,2017-06-27,2,4,5,11,20,22
928,2017-06-20,4,9,11,19,23,22
927,2017-06-13,1,6,7,17,18,16
926,2017-06-06,3,9,18,27,29,26
925,2017-05-30,9,14,19,27,30,16
924,2017-05-23,2,7,8,14,23,15
923,2017-05-16,8,20,21,22,27,19
922,2017-05-09,2,13,14,21,22,7
921,2017-05-02,6,8,10,14,30,13
920,2017-04-25,5,15,22,24,25,30
919,2017-04-18,4,7,9,15,23,11
918,2017-04-11,16,20,22,27,29,30
917,2017-04-04,1,9,10,24,27,13
916,2017-03-28,17,18,23,28,30,5
915,2017-03-21,14,22,24,26,27,7
914,2017-03-14,2,7,15,19,24,22
913,2017-03-07,2,9,17,21,23,28
912,2017-02-28,9,12,19,21,22,18
911,2017-02-21,2,3,4,13,16,17
910,2017-02-14,10,14,20,26,30,3
909,2017-02-07,3,12,14,20,27,22
908,2017-01-31,18,19,21,23,31,17
907,2017-01-24,3,4,10,22,31,6
906,2017-01-17,2,4,6,7,23,26
905,2017-01-10,4,17,18,22,27,10
904,2016-12-27,3,5,8,17,21,14
903,2016-12-20,2,5,21,24,29,4
902,2016-12-13,6,8,16,22,28,27
901,2016-12-06,2,10,13,23,24,27
900,2016-11-29,1,15,18,22,25,29
899,2016-11-22,1,7,19,20,31,29
898,2016-11-15,5,7,20,24,25,17
897,2016-11-08,16,17,18,23,31,29
896,2016-11-01,11,13,16,17,26,30
895,2016-10-25,7,8,9,11,14,22
894,2016-10-18,11,16,21,23,30,25
893,2016-10-11,11,14,20,22,25,5
892,2016-10-04,2,3,12,19,21,5
891,2016-09-27,10,17,29,30,31,25
890,2016-09-20,1,7,12,24,31,6
889,2016-09-13,5,6,12,17,22,23
888,2016-09-06,6,17,24,29,31,3
887,2016-08-30,3,4,19,28,29,23
886,2016-08-23,1,11,20,23,29,13
885,2016-08-16,9,17,21,24,27,11
884,2016-08-09,7,10,22,27,31,2
883,2016-08-02,1,17,18,21,25,23
882,2016-07-26,2,7,8,18,30,21
881,2016-07-19,10,11,17,29,30,15
880,2016-07-12,5,7,11,12,21,18
879,2016-07-05,2,13,24,27,31,12
878,2016-06-28,2,3,8,28,29,26
877,2016-06-21,5,14,20,22,23,16
876,2016-06-14,18,19,20,21,27,15
875,2016-06-07,2,3,8,11,28,10
874,2016-05-31,6,7,8,22,24,18
873,2016-05-24,4,6,10,23,29,3
872,2016-05-17,15,16,24,28,30,26
871,2016-05-10,4,17,24,27,31,19
870,2016-05-03,3,12,22,23,31,24
869,2016-04-26,2,14,16,19,30,5
868,2016-04-19,1,9,14,25,30,31
867,2016-04-12,13,23,24,28,30,31
866,2016-04-05,4,16,18,26,28,9
865,2016-03-29,3,8,16,17,31,9
864,2016-03-22,14,18,26,28,30,8
863,2016-03-15,1,2,11,27,28,21
862,2016-03-08,3,7,9,13,23,6
861,2016-03-01,4,8,12,17,27,3
860,2016-02-23,8,9,21,30,31,7
859,2016-02-16,13,17,19,28,31,25
858,2016-02-09,6,14,15,25,26,22
857,2016-02-02,2,4,21,24,28,29
856,2016-01-26,1,10,15,24,29,9
855,2016-01-19,2,7,17,22,24,25
854,2016-01-12,3,16,22,23,31,10
853,2016-01-05,6,11,17,18,30,28
852,2015-12-29,2,9,15,18,22,12
851,2015-12-22,10,19,20,24,31,23
850,2015-12-15,1,2,13,15,18,28
849,2015-12-08,4,14,17,19,20,26
848,2015-12-01,2,3,22,29,31,1
847,2015-11-24,7,18,19,21,31,15
846,2015-11-17,1,17,27,30,31,8
845,2015-11-10,3,10,22,24,30,28
844,2015-11-03,3,11,14,22,26,1
843,2015-10-27,2,14,23,28,30,26
842,2015-10-20,9,18,20,24,25,4
841,2015-10-13,5,6,7,13,18,8
840,2015-10-06,1,5,11,15,31,8
839,2015-09-29,2,6,14,27,30,12
838,2015-09-22,4,6,11,12,15,22
837,2015-09-15,4,5,9,24,25,31
836,2015-09-08,5,15,20,28,29,10
835,2015-09-01,1,9,11,23,29,17
834,2015-08-25,5,13,21,25,26,2
833,2015-08-18,6,9,15,24,28,12
832,2015-08-11,9,10,15,19,31,24
831,2015-08-04,7,9,17,19,21,3
830,2015-07-28,5,6,20,23,29,15
829,2015-07-21,8,12,19,23,31,6
828,2015-07-14,2,8,11,15,26,3
827,2015-07-07,3,4,6,23,31,10
826,2015-06-30,1,8,21,23,27,22
825,2015-06-23,3,8,12,21,26,19
824,2015-06-16,4,16,22,28,29,10
823,2015-06-09,6,10,14,18,23,9
822,2015-06-02,7,8,10,17,28,4
821,2015-05-26,6,8,18,21,23,30
820,2015-05-19,8,12,20,21,31,19
819,2015-05-12,2,9,14,15,24,13
818,2015-05-05,5,9,14,16,18,3
817,2015-04-28,1,10,23,27,29,18
816,2015-04-21,1,5,7,14,18,12
815,2015-04-14,20,21,26,27,28,3
814,2015-04-07,2,3,12,25,31,28
813,2015-03-31,3,6,9,14,15,17
812,2015-03-24,2,16,17,22,25,13
811,2015-03-17,8,9,10,13,21,18
810,2015-03-10,6,12,15,16,31,17
809,2015-03-03,2,8,11,13,25,1
808,2015-02-24,8,9,26,27,30,3
807,2015-02-17,5,7,13,17,19,3
806,2015-02-10,3,11,21,23,28,24
805,2015-02-03,8,9,11,17,30,3
804,2015-01-27,7,8,9,12,29,26
803,2015-01-20,2,4,18,19,27,23
802,2015-01-13,5,9,21,29,31,6
801,2015-01-06,5,7,20,22,25,17
800,2014-12-30,1,19,20,22,25,2
799,2014-12-23,1,2,17,19,26,24
798,2014-12-16,3,8,10,23,27,12
797,2014-12-09,8,9,29,30,31,18
796,2014-12-02,3,10,19,21,30,7
795,2014-11-25,2,6,11,14,18,1
794,2014-11-18,3,4,8,10,31,7
793,2014-11-11,6,10,18,20,31,24
792,2014-11-04,12,13,15,18,22,28
791,2014-10-28,6,16,18,30,31,10
790,2014-10-21,11,13,15,19,21,7
789,2014-10-14,4,5,11,16,31,19
788,2014-10-07,1,21,28,29,30,15
787,2014-09-30,11,15,22,26,31,7
786,2014-09-23,5,6,21,28,29,7
785,2014-09-16,7,21,22,26,28,5
784,2014-09-09,14,19,21,25,29,8
783,2014-09-02,4,5,10,15,20,8
782,2014-08-26,4,7,9,14,21,26
781,2014-08-19,2,7,10,21,24,4
780,2014-08-12,13,15,16,18,20,7
779,2014-08-05,1,8,9,10,13,18
778,2014-07-29,10,13,14,26,30,18
777,2014-07-22,4,10,20,22,24,21
776,2014-07-15,6,14,15,18,31,25
775,2014-07-08,5,6,14,24,31,15
774,2014-07-01,5,6,9,20,30,31
773,2014-06-24,1,2,6,11,26,17
772,2014-06-17,11,14,15,21,27,24
771,2014-06-10,7,11,22,26,30,27
770,2014-06-03,12,18,19,22,30,20
769,2014-05-27,3,11,15,22,24,29
768,2014-05-20,2,3,23,24,27,10
767,2014-05-13,6,8,10,25,31,27
766,2014-05-06,5,8,12,16,28,13
765,2014-04-29,16,19,20,22,31,26
764,2014-04-22,1,2,7,10,11,16
763,2014-04-15,3,5,12,14,18,8
762,2014-04-08,2,3,8,10,29,31
761,2014-04-01,7,14,16,21,31,17
760,2014-03-25,1,7,14,25,30,8
759,2014-03-18,8,18,23,24,30,4
758,2014-03-11,8,14,19,22,24,26
757,2014-03-04,12,15,21,25,27,22
756,2014-02-25,5,8,9,27,30,11
755,2014-02-18,20,21,22,25,27,14
754,2014-02-11,11,12,24,25,30,31
753,2014-02-04,2,10,20,23,24,26
752,2014-01-28,11,23,26,27,31,24
751,2014-01-21,7,15,18,19,30,8
750,2014-01-14,2,5,9,13,19,24
749,2014-01-07,1,11,14,16,30,25
748,2013-12-24,2,6,7,11,15,4
747,2013-12-17,1,12,23,29,30,9
746,2013-12-10,2,10,15,18,20,13
745,2013-12-03,3,10,13,14,22,15
744,2013-11-26,2,4,5,14,24,19
743,2013-11-19,4,15,18,20,30,5
742,2013-11-12,3,5,16,26,31,1
741,2013-11-05,6,11,12,15,25,10
740,2013-10-29,2,4,19,25,28,11
739,2013-10-22,1,4,19,24,31,18
738,2013-10-15,7,11,14,23,29,19
